TLDE	200D	00F7	007E
E01	06F1	0021	0060
E02	06F2	066C	0040
E03	06F3	066B	0023
E04	06F4	AFGHANI	0024
E05	06F5	066A	0025
E06	06F6	00D7	005E
E07	06F7	060C	0026
E08	06F8	002A	2022
E09	06F9	0029	200E
E10	06F0	0028	200F
E11	002D	0640	005F
E12	003D	002B	<FREE>
D01	0636	0652	00B0
D02	0635	064C	<FREE>
D03	062B	064D	20AC
D04	0642	064B	FD3E
D05	0641	064F	FD3F
D06	063A	0650	0656
D07	0639	064E	ZWARAKAY
D08	0647	0651	0655
D09	062E	005D	0027
D10	062D	005B	0022
D11	062C	007D	0681
D12	0686	007B	0685
C01	0634	0624	069A
C02	0633	0626	06CD
C03	06CC	064A	0649
C04	0628	0625	06D0
C05	0644	0623	06B7
C06	0627	0622	0671
C07	062A	0629	067C
C08	0646	00BB	06BC
C09	0645	00AB	06BA
C10	06A9	003A	003B
C11	06AF	061B	06AB
B01	0638	0643	06D2
B02	0637	0653	0691
B03	0632	0698	0696
B04	0631	0670	0693
B05	0630	200C	0688
B06	062F	0654	0689
B07	067E	0621	0679
B08	0648	003E	002C
B09	002E	003C	06C7
B10	002F	061F	06C9
BKSL	005C	007C	003F
SPCE	0020	200C	00A0
