TLDE	200D	00F7	007E
E01	06F1	0021	0060
E02	06F2	066C	0040
E03	06F3	066B	0023
E04	06F4	AFGHANI	0024
E05	06F5	066A	0025
E06	06F6	00D7	005E
E07	06F7	00BB	0026
E08	06F8	00AB	2022
E09	06F9	0029	200E
E10	06F0	0028	200F
E11	002D	0640	005F
E12	003D	002B	<FREE>
D01	0636	0652	00B0
D02	0635	064C	0653
D03	062B	064D	20AC
D04	0642	064B	FD3E
D05	0641	064F	FD3F
D06	063A	0650	0656
D07	0639	064E	ZWARAKAY
D08	0647	0651	0670
D09	062E	0681	0027
D10	062D	0685	0022
D11	062C	005D	007D
D12	0686	005B	007B
C01	0634	069A	<FREE>
C02	0633	0626	06D2
C03	06CC	064A	0649
C04	0628	067E	06BA
C05	0644	0623	06B7
C06	0627	0622	0671
C07	062A	067C	0679
C08	0646	06BC	003E
C09	0645	0629	003C
C10	06A9	003A	0643
C11	06AB	061B	06AF
B01	06CD	0638	003F
B02	06D0	0637	003B
B03	0632	0698	0655
B04	0631	0621	0654
B05	0630	200C	0625
B06	062F	0689	0688
B07	0693	0624	0691
B08	0648	060C	002C
B09	0696	002E	06C7
B10	002F	061F	06C9
BKSL	005C	002A	007C
SPCE	0020	200C	00A0
